Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5131","Traitement","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","797","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5154","Autres utilisations (non alimentaire)","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","1","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5171","Alimentation pour touristes","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5170","Résidus","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5142","Nourriture","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","10024","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2905","Cèrèales - Excl Bière","2017","2017","kg","175.83","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","Kcal/personne/jour","1436","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","38.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","9.71","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","702","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","397","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5072","Variation de stock","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","-13","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5911","Exportations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","1","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilité intérieure","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","1110","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5521","Aliments pour animaux","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","455","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5527","Semences","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","24","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5123","Pertes","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","76","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5131","Traitement","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","12","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5154","Autres utilisations (non alimentaire)","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","126","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5170","Résidus","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5142","Nourriture","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","417","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","2905","Cèrèales - Excl Bière","2017","2017","kg","144.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","Kcal/personne/jour","1088","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","33.41","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","6.24","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5511","Production","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","3478","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5611","Importations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","13039","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5072","Variation de stock","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","153","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5911","Exportations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","10","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5301","Disponibilité intérieure","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","16355","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5521","Aliments pour animaux","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","4845","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5527","Semences","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","183","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5123","Pertes","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","1103","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5131","Traitement","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","33","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5154","Autres utilisations (non alimentaire)","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","1831","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5171","Alimentation pour touristes","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5170","Résidus","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5142","Nourriture","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","8360","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","645","Disponibilité alimentaire en quantité (kg/personne/an)","2905","Cèrèales - Excl Bière","2017","2017","kg","201.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","Kcal/personne/jour","1549","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","45.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","6.25","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5511","Production","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","45557","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5611","Importations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","12528","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5072","Variation de stock","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","1057","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5911","Exportations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","15972","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","41056","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5521","Aliments pour animaux","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","25308","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5527","Semences","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","991","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5123","Pertes","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","1454","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5131","Traitement","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","3135","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5154","Autres utilisations (non alimentaire)","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","733","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5170","Résidus","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","-17","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","9451","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","645","Disponibilité alimentaire en quantité (kg/personne/an)","2905","Cèrèales - Excl Bière","2017","2017","kg","114.34","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","Kcal/personne/jour","885","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","26.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","3.5","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5511","Production","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","2496","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5611","Importations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","2260","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5072","Variation de stock","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","560","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5911","Exportations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","28","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","4168","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5521","Aliments pour animaux","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","633","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5527","Semences","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","71","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5123","Pertes","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","336","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5131","Traitement","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","88","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5154","Autres utilisations (non alimentaire)","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5171","Alimentation pour touristes","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5170","Résidus","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","3040","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","645","Disponibilité alimentaire en quantité (kg/personne/an)","2905","Cèrèales - Excl Bière","2017","2017","kg","101.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","Kcal/personne/jour","788","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","20.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2905","Cèrèales - Excl Bière","2017","2017","g/personne/jour","5.39","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5511","Production","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5611","Importations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","11","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5072","Variation de stock","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","1","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5911","Exportations - Quantité","2905","Cèrèales - Excl Bière","2017","2017","Milliers de tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
